k, NA;
operating capital, |h;
operating cost, |h;
operating expenses, |h;
operating instructions, |h;
operating procedure, |h;
operating room, |h;
operating statement, |h;
operating surgeon, |h;
operating system, |h;
operating table, h;
operating theater, |h;
operating theatre, h;
operation, N;
operation code, |h;
operation desert storm, |h;
operational, A;
operational casualty, |h;
operational damage, |h;
operationalism, N;
operationalist, |A;
operationally, |v;
operations, |N;
operations research, h;
operations room, h;
operative, AN;
operatively, v;
operativeness, N;
operativity, N;
operatize, t;
operator, N;
opercle, N;
operculate, A;
operculated, |A;
operculum, N;
operetta, N;
operettist, N;
operla, p;
operon, N;
operose, A;
operosely, v;
operoseness, N;
opheodrys, |N;
opheodrys aestivus, |h;
opheodrys vernalis, |h;
ophicleide, N;
ophicleidean, A;
ophidia, |N;
ophidian, AN;
ophidiidae, |N;
ophiodon, |N;
ophiodon elongatus, |h;
ophiodontidae, |N;
ophioglossaceae, |N;
ophioglossales, |N;
ophioglossum, |N;
ophioglossum pendulum, |h;
ophiolater, N;
ophiolatrous, A;
ophiolatry, N;
ophiologic, A;
ophiological, A;
ophiologist, N;
ophiology, N;
ophiophagus, |N;
ophiophagus hannan, |h;
ophisaurus, |N;
ophite, N;
ophitic, A;
ophiurida, |N;
ophiuroidea, |N;
ophrys, |N;
ophrys apifera, |h;
ophrys insectifera, |h;
ophrys muscifera, |h;
ophrys sphegodes, |h;
ophthalm, N;
ophthalmia, N;
ophthalmia neonatorum, h;
ophthalmiac, N;
ophthalmic, A;
ophthalmic artery, |h;
ophthalmic vein, |h;
ophthalmitic, A;
ophthalmitis, N;
ophthalmodynamometer, N;
ophthalmologic, A;
ophthalmological, A;
ophthalmologist, N;
ophthalmology, N;
ophthalmometer, N;
ophthalmometric, A;
ophthalmometrical, A;
ophthalmometry, N;
ophthalmoscope, N;
ophthalmoscopic, A;
ophthalmoscopical, A;
ophthalmoscopies, p;
ophthalmoscopist, N;
ophthalmoscopy, N;
opiate, NAVt;
opiated, V;
opiating, V;
opiliones, |N;
opine, V;
opinicus, N;
opinicuses, p;
opinion, N;
opinion poll, h;
opinionated, A;
opinionatedly, v;
opinionatedness, N;
opinionative, A;
opinionatively, v;
opinionativeness, N;
opisthenar, N;
opisthobranch, N;
opisthobranchia, |N;
opisthocomidae, |N;
opisthocomus, |N;
opisthocomus hoazin, |h;
opisthodomos, N;
opisthodomoses, p;
opisthognathidae, |N;
opisthognathism, N;
opisthognathous, A;
opium, N;
opium addict, |h;
opium den, h;
opium poppy, h;
opium taker, |h;
opiumism, N;
opodeldoc, N;
opopanax, |N;
opossum, N;
opossum rat, |h;
opossum shrimp, h;
opossum wood, |h;
opossums, p;
opp, N;
oppenheimer, |N;
oppidan, AN;
oppilate, t;
oppilated, t;
oppilating, t;
oppilation, N;
opponency, N;
opponens, NA;
opponent, NA;
opportune, A;
opportunely, v;
opportuneness, |N;
opportunism, N;
opportunist, NA;
opportunistic, A;
opportunistic infection, |h;
opportunistically, v;
opportunities, p;
opportunity, N;
opportunity cost, h;
opposability, N;
opposable, A;
oppose, tiV;
opposed, |A;
opposed-piston engine, h;
opposer, N;
opposing, |A;
opposingly, v;
opposite, ANPv;
opposite number, h;
opposite prompt, h;
opposite sex, h;
opposite word, |h;
oppositely, v;
oppositeness, N;
opposition, N;
oppositional, A;
oppositionary, A;
oppositionless, A;
oppositive, |A;
oppress, tV;
oppressed, |A;
oppressible, A;
oppression, N;
oppressive, A;
oppressively, v;
oppressiveness, N;
oppressor, N;
opprobrious, A;
opprobriously, v;
opprobriousness, N;
opprobrium, N;
oppugn, tV;
oppugnant, A;
oppugner, N;
opra bouffe, h;
opra comique, h;
ops, |N;
opsanus tau, |h;
opsimath, N;
opsin, N;
opsonic, A;
opsonic index, h;
opsonin, N;
opsonize, t;
opsonized, t;
opsonizing, t;
opsonoid, A;
opt, V;
opt for, |V;
opt out, iV;
optative, AN;
optative mood, |h;
optatively, v;
optez, |N;
opthalmic, |A;
optic, AN;
optic axis, h;
optic chiasm, |h;
optic chiasma, |h;
optic cup, |h;
optic disc, h;
optic nerve, h;
optic thalamus, h;
optic tract, |h;
optical, A;
optical aberration, |h;
optical activity, h;
optical air mass, h;
optical bench, h;
optical condenser, |h;
optical crown, h;
optical density, h;
optical device, |h;
optical fiber, |h;
optical fibre, |h;
optical flint, h;
optical fusion, |h;
optical glass, h;
optical illusion, h;
optical instrument, |h;
optical isomer, h;
optical isomerism, h;
optical lens, |h;
optical maser, h;
optical path, h;
optical phenomenon, |h;
optical prism, |h;
optical pyrometer, |h;
optical rotation, h;
optical scanning, h;
optical telescope, |h;
optical tooling, h;
optically, |v;
optician, N;
opticist, N;
opticly, v;
optics, N;
optimal, A;
optimally, |v;
optime, N;
optimise, N;
optimism, N;
optimist, N;
optimistic, A;
optimistically, v;
optimization, N;
optimize, tiV;
optimized, V;
optimizing, V;
optimum, NA;
option, N;
optional, A;
optionality, N;
optionally, v;
optionee, N;
optometer, N;
optometrical, A;
optometrist, N;
optometry, N;
optotype, N;
opulence, N;
opulent, A;
opulently, v;
opuntia, N;
opuntia cholla, |h;
opuntia lindheimeri, |h;
opuntia tuna, |h;
opuntiales, |N;
opus, N;
opus incertum, h;
opus isodomum, h;
opus pseudoisodomum, h;
opus reticulatum, h;
opuscular, A;
opuscule, NCPA;
opuses, p;
opv, |N;
oquassa, N;
oquassas, p;
or, NA;
or circuit, h;
or else, |v;
or gate, |h;
or so, |v;
ora, N;
ora pro nobis, h;
orach, N;
orache, N;
oracle, N;
oracle of apollo, |h;
oracle of delphi, |h;
oracles, p;
oracular, A;
oracularity, N;
oracularly, v;
oracularness, N;
oracy, N;
orad, v;
oradexon, |N;
oral, AN;
oral cavity, |h;
oral communication, |h;
oral contraceptive, |h;
oral contraceptive pill, |h;
oral contract, |h;
oral exam, |h;
oral examination, |h;
oral groove, h;
oral herpes, |h;
oral interpretation, h;
oral personality, |h;
oral phase, |h;
oral poliovirus vaccine, |h;
oral presentation, |h;
oral sex, |h;
oral society, h;
oral stage, |h;
orally, v;
oran, |N;
orang, N;
orang-utan, N;
orange, NA;
orange III, h;
orange balsam, |h;
orange bat, |h;
orange blossom, h;
orange chromide, h;
orange coneflower, h;
orange daisy, |h;
orange fleabane, |h;
orange grass, |h;
orange hawkweed, |h;
orange horseshoe bat, |h;
orange juice, |h;
orange lily, h;
orange liqueur, |h;
orange marmalade, |h;
orange milkweed, h;
orange milkwort, h;
orange mushroom pimple, |h;
orange peel, |h;
orange peel fungus, |h;
orange pekoe, h;
orange red, |h;
orange rind, |h;
orange sneezeweed, |h;
orange soda, |h;
orange stick, h;
orange sulphur, h;
orange sunflower, h;
orange toast, |h;
orange tortrix, |h;
orange tree, |h;
orange yellow, |h;
orange zest, |h;
orange-blossom orchid, |h;
orange-eye butterfly bush, h;
orange-juice concentrate, |h;
orange-tip, N;
orangeade, N;
orangeman, |N;
orangeness, |N;
orangeries, p;
orangery, N;
orangewood, N;
orangish, |A;
orangutan, N;
orangutang, |N;
orangy, A;
oraria, p;
orarion, N;
orarium, N;
orate, iV;
orate fratres, h;
orated, it;
orating, it;
oration, N;
orator, N;
oratorical, A;
oratorically, v;
oratories, p;
oratorio, N;
oratorios, p;
oratorlike, A;
oratorship, N;
oratory, N;
oratrices, p;
oratrix, N;
orb, NVt;
orb web, |h;
orbicular, A;
orbiculares, p;
orbicularis, N;
orbicularity, N;
orbicularly, v;
orbiculate, A;
orbiculate leaf, |h;
orbiculately, v;
orbiculation, N;
orbignya, |N;
orbignya cohune, |h;
orbignya martiana, |h;
orbignya phalerata, |h;
orbignya spesiosa, |h;
orbit, NVti;
orbit period, |h;
orbital, NA;
orbital angular momentum, h;
orbital cavity, |h;
orbital index, h;
orbital plane, |h;
orbital quantum number, h;
orbital velocity, h;
orbitale, N;
orc, N;
orca, N;
orcein, N;
orch, N;
orchard, N;
orchard apple tree, |h;
orchard bush, h;
orchard grass, h;
orchard oriole, h;
orchard valve, h;
orchardist, N;
orchardman, N;
orchectomy, N;
orchestia, |N;
orchestiidae, |N;
orchestra, N;
orchestra pit, |h;
orchestral, A;
orchestral bells, |h;
orchestraless, A;
orchestrally, v;
orchestrate, tV;
orchestrated, tiA;
orchestrater, N;
orchestrating, ti;
orchestration, N;
orchestrator, N;
orchestrion, N;
orchid, N;
orchid cactus, |h;
orchid family, |h;
orchid tree, h;
orchidaceae, |N;
orchidaceous, A;
orchidaceous plant, |h;
orchidales, |N;
orchidectomies, p;
orchidectomy, N;
orchidologist, N;
orchidology, N;
orchidotomies, p;
orchidotomy, N;
orchiectomies, p;
orchiectomy, N;
orchil, N;
orchis, N;
orchis mascula, |h;
orchis papilionaceae, |h;
orchis spectabilis, |h;
orchitic, A;
orchitis, N;
orchotomies, p;
orchotomy, N;
orcinol, N;
orcinus, |N;
orcinus orca, |h;
orcus, |N;
ord, Ni;
ord kangaroo rat, |h;
ordain, tV;
ordainable, A;
ordained, |A;
ordainer, N;
ordaining, |N;
ordainment, N;
ordeal, N;
ordeal bean, |h;
ordeal tree, |h;
order, Nt!V;
order about, t;
order acarina, |h;
order accipitriformes, |h;
order actinaria, |h;
order actiniaria, |h;
order actinomycetales, |h;
order actinomyxidia, |h;
order aepyorniformes, |h;
order agaricales, |h;
order alcyonaria, |h;
order alismales, |h;
order amoebida, |h;
order amoebina, |h;
order amphipoda, |h;
order anacanthini, |h;
order anaspida, |h;
order andreaeales, |h;
order anguilliformes, |h;
order anoplura, |h;
order anostraca, |h;
order anseriformes, |h;
order anthocerotales, |h;
order anura, |h;
order aphyllophorales, |h;
order aplacophora, |h;
order apodes, |h;
order apodiformes, |h;
order apterygiformes, |h;
order arales, |h;
order araneae, |h;
order araneida, |h;
order aristolochiales, |h;
order arms, !h;
order artiodactyla, |h;
order aspergillales, |h;
order auriculariales, |h;
order batoidei, |h;
order batrachia, |h;
order belemnoidea, |h;
order bennettitales, |h;
order berycomorphi, |h;
order blastocladiales, |h;
order book, |h;
order branchiura, |h;
order bryales, |h;
order campanulales, |h;
order caprimulgiformes, |h;
order carnivora, |h;
order caryophyllales, |h;
order casuariiformes, |h;
order casuarinales, |h;
order caudata, |h;
order cestida, |h;
order cetacea, |h;
order charadriiformes, |h;
order charales, |h;
order chelonethida, |h;
order chelonia, |h;
order chiroptera, |h;
order chlorococcales, |h;
order chytridiales, |h;
order ciconiiformes, |h;
order cilioflagellata, |h;
order coccidia, |h;
order code, |h;
order coleoptera, |h;
order collembola, |h;
order columbiformes, |h;
order colymbiformes, |h;
order commelinales, |h;
order coniferales, |h;
order conodonta, |h;
order conodontophorida, |h;
order coraciiformes, |h;
order cordaitales, |h;
order corrodentia, |h;
order crocodilia, |h;
order crocodylia, |h;
order cuculiformes, |h;
order cycadales, |h;
order cycadofilicales, |h;
order cyclostomata, |h;
order cydippea, |h;
order cydippida, |h;
order cydippidea, |h;
order cypriniformes, |h;
order decapoda, |h;
order dermaptera, |h;
order dermoptera, |h;
order diapensiales, |h;
order dicranales, |h;
order dictyoptera, |h;
order dinocerata, |h;
order dinoflagellata, |h;
order dinornithiformes, |h;
order diptera, |h;
order discocephali, |h;
order ebenales, |h;
order edentata, |h;
order embiodea, |h;
order embioptera, |h;
order endomycetales, |h;
order entomophthorales, |h;
order ephemerida, |h;
order ephemeroptera, |h;
order equisetales, |h;
order ericales, |h;
order erysiphales, |h;
order eubacteriales, |h;
order eubryales, |h;
order euphausiacea, |h;
order eurotiales, |h;
order eurypterida, |h;
order exocycloida, |h;
order fagales, |h;
order falconiformes, |h;
order filicales, |h;
order foraminifera, |h;
order form, |h;
order fucales, |h;
order gadiformes, |h;
order galliformes, |h;
order ganoidei, |h;
order gaviiformes, |h;
order gentianales, |h;
order geophilomorpha, |h;
order geraniales, |h;
order ginkgoales, |h;
order gnetales, |h;
order graminales, |h;
order gregarinida, |h;
order gruiformes, |h;
order guttiferales, |h;
order gymnophiona, |h;
order haemosporidia, |h;
order haplosporidia, |h;
order heliozoa, |h;
order helotiales, |h;
order hemiptera, |h;
order heterosomata, |h;
order heterotrichales, |h;
order hymenogastrales, |h;
order hymenoptera, |h;
order hypericales, |h;
order hypermastigina, |h;
order hypocreales, |h;
order hyracoidea, |h;
order ichthyosauria, |h;
order ictodosauria, |h;
order in council, h;
order insectivora, |h;
order isoetales, |h;
order isopoda, |h;
order isoptera, |h;
order isospondyli, |h;
order juglandales, |h;
order jungermanniales, |h;
order lagomorpha, |h;
order laminariales, |h;
order lechanorales, |h;
order lepidodendrales, |h;
order lepidoptera, |h;
order lichenales, |h;
order liliales, |h;
order lobata, |h;
order loricata, |h;
order lycoperdales, |h;
order lycopodiales, |h;
order lyginopteridales, |h;
order madreporaria, |h;
order mallophaga, |h;
order malvales, |h;
order marattiales, |h;
order marchantiales, |h;
order marsupialia, |h;
order moniliales, |h;
order monotremata, |h;
order mucorales, |h;
order musales, |h;
order myaceae, |h;
order mycelia sterilia, |h;
order mycoplasmatales, |h;
order mycrosporidia, |h;
order myricales, |h;
order myrtales, |h;
order mysidacea, |h;
order myxobacterales, |h;
order myxobacteria, |h;
order myxobacteriales, |h;
order myxosporidia, |h;
order naiadales, |h;
order neuroptera, |h;
order nidulariales, |h;
order notostraca, |h;
order nudibranchia, |h;
order octopoda, |h;
order odonata, |h;
order oedogoniales, |h;
order of business, |h;
order of magnitude, |h;
order of payment, |h;
order of the day, |h;
order of the purple heart, |h;
order oleales, |h;
order ophioglossales, |h;
order opiliones, |h;
order opuntiales, |h;
order orchidales, |h;
order ornithischia, |h;
order orthoptera, |h;
order ostariophysi, |h;
order ostracodermi, |h;
order palmales, |h;
order pandanales, |h;
order papaverales, |h;
order paper, h;
order parietales, |h;
order passeriformes, |h;
order pectinibranchia, |h;
order pediculati, |h;
order pedipalpi, |h;
order pelecaniformes, |h;
order pelycosauria, |h;
order perciformes, |h;
order percomorphi, |h;
order perissodactyla, |h;
order peronosporales, |h;
order pezizales, |h;
order phalangida, |h;
order phallales, |h;
order phasmatodea, |h;
order phasmida, |h;
order pholidota, |h;
order picariae, |h;
order piciformes, |h;
order piperales, |h;
order plantaginales, |h;
order platyctenea, |h;
order plecoptera, |h;
order plectognathi, |h;
order pleuronectiformes, |h;
order plumbaginales, |h;
order podicipediformes, |h;
order podicipitiformes, |h;
order polemoniales, |h;
order polygonales, |h;
order polymastigina, |h;
order polypodiales, |h;
order port, h;
order primates, |h;
order primulales, |h;
order proboscidea, |h;
order procellariiformes, |h;
order proteales, |h;
order protura, |h;
order pseudomonadales, |h;
order pseudoscorpiones, |h;
order pseudoscorpionida, |h;
order psilophytales, |h;
order psilotales, |h;
order psittaciformes, |h;
order psocoptera, |h;
order pterosauria, |h;
order pulmonata, |h;
order pycnogonida, |h;
order radiolaria, |h;
order rajiformes, |h;
order ranales, |h;
order ranunculales, |h;
order raptores, |h;
order rhamnales, |h;
order rheiformes, |h;
order rhoeadales, |h;
order rhynchocephalia, |h;
order rickettsiales, |h;
order rodentia, |h;
order rosales, |h;
order rubiales, |h;
order salicales, |h;
order salientia, |h;
order santalales, |h;
order sapindales, |h;
order saprolegniales, |h;
order sarcosporidia, |h;
order sarraceniales, |h;
order saurischia, |h;
order sauropterygia, |h;
order scandentia, |h;
order sclerodermatales, |h;
order scleroparei, |h;
order scorpionida, |h;
order scrophulariales, |h;
order secotiales, |h;
order selaginellales, |h;
order siluriformes, |h;
order siphonaptera, |h;
order siphonophora, |h;
order sirenia, |h;
order solenichthyes, |h;
order solenogastres, |h;
order spatangoida, |h;
order sphaeriales, |h;
order sphaerocarpales, |h;
order sphagnales, |h;
order sphenisciformes, |h;
order spirochaetales, |h;
order squamata, |h;
order stegocephalia, |h;
order stereospondyli, |h;
order stomatopoda, |h;
order strigiformes, |h;
order struthioniformes, |h;
order synentognathi, |h;
order temnospondyli, |h;
order testacea, |h;
order testudinata, |h;
order testudines, |h;
order tetraodontiformes, |h;
order thecodontia, |h;
order therapsida, |h;
order thymelaeales, |h;
order thysanoptera, |h;
order thysanura, |h;
order tinamiformes, |h;
order torpediniformes, |h;
order tremellales, |h;
order trichoptera, |h;
order trogoniformes, |h;
order tuberales, |h;
order tubulidentata, |h;
order tulostomatales, |h;
order ulvales, |h;
order umbellales, |h;
order uredinales, |h;
order urodella, |h;
order uropygi, |h;
order urticales, |h;
order ustilaginales, |h;
order volvocales, |h;
order xiphosura, |h;
order xyridales, |h;
order zeomorphi, |h;
order zygnemales, |h;
order zygnematales, |h;
order-chenopodiales, |N;
ordered, |A;
ordered field, h;
ordered pair, h;
ordered series, |h;
ordering, |N;
orderliness, |N;
orderly, AvN;
orderly officer, h;
orderly room, h;
orderly sergeant, |h;
ordinaire, A;
ordinal, AN;
ordinal number, h;
ordinally, v;
ordinance, N;
ordinand, N;
ordinariate, N;
ordinarily, v;
ordinariness, |N;
ordinary, AN;
ordinary annuity, |h;
ordinary bicycle, |h;
ordinary care, |h;
ordinary jubilee, h;
ordinary life insurance, h;
ordinary point, h;
ordinary ray, h;
ordinary seaman, h;
ordinary share, h;
ordinary shares, ph;
ordinary stock, h;
ordinary wave, h;
ordinary-language philosophy, h;
ordinate, NA;
ordination, N;
ordines, p;
ordler taxales, |h;
ordn, N;
ordnance, N;
ordnance datum, h;
ordo, N;
ordonnance, N;
ordonnances, p;
ordovician, |N;
ordovician period, |h;
ordure, N;
ordurous, A;
ore, N;
ore bed, |h;
ore dressing, h;
ore hearth, h;
ore processing, |h;
ore rotundo, h;
oread, N;
oreamnos, |N;
oreamnos americanus, |h;
orectic, A;
orectolobidae, |N;
orectolobus, |N;
orectolobus barbatus, |h;
oregano, N;
oregon, |N;
oregon alder, |h;
oregon ash, |h;
oregon cedar, |h;
oregon crab apple, |h;
oregon fir, |h;
oregon grape, |h;
oregon holly grape, |h;
oregon jargon, |h;
oregon larch, |h;
oregon lily, |h;
oregon maple, |h;
oregon myrtle, |h;
oregon oak, |h;
oregon pine, |h;
oregon white oak, |h;
oregonian, |N;
oreo, |N;
oreo cookie, |h;
oreopteris, |N;
oreopteris limbosperma, |h;
oreortyx, |N;
oreortyx picta palmeri, |h;
oreshoot, N;
orexis, N;
orfe, N;
orfray, N;
organ, N;
organ donor, |h;
organ grinder, h;
organ loft, |h;
organ of Corti, h;
organ of corti, |h;
organ of hearing, |h;
organ pipe, h;
organ screen, h;
organ stop, |h;
organ-grinder, N;
organ-pipe cactus, h;
organ-pipe coral, h;
organa, N;
organdie, N;
organdy, N;
organelle, N;
organic, AN;
organic chemistry, h;
organic compound, |h;
organic disease, h;
organic fertilizer, |h;
organic law, |h;
organic phenomenon, |h;
organic process, |h;
organic structure, |h;
organically, v;
organicalness, N;
organicism, NA;
organicismal, A;
organicist, N;
organicistic, A;
organicity, N;
organification, |N;
organisability, N;
organisable, A;
organisation, |N;
organisational, A;
organisationally, v;
organise, tiV;
organised, ti;
organising, ti;
organism, N;
organismal, A;
organismic, A;
organismically, v;
organist, N;
organizability, N;
organizable, A;
organization, N;
organization chart, |h;
organization expense, |h;
organization man, h;
organization of american states, |h;
organization of petroleum-exporting countries, |h;
organizational, A;
organizationally, v;
organize, Vti;
organized, VA;
organized crime, |h;
organized ferment, h;
organized labor, h;
organized militia, h;
organizer, N;
organizing, V;
organogenesis, N;
organographic, A;
organographical, A;
organographist, N;
organography, N;
organoleptic, A;
organologic, A;
organological, A;
organologist, N;
organology, N;
organomagnesium, A;
organometallic, A;
organon, N;
organotherapeutics, N;
organotherapy, N;
organs, |N;
organum, N;
organza, N;
organzine, N;
orgasm, N;
orgasmic, A;
orgastic, A;
orgeat, N;
orgiastic, |A;
orgies, p;
orgone box, h;
orgone energy, h;
orgulous, A;
orgy, N;
oribi, N;
oriel, N;
oriel window, |h;
orient, NAV;
oriental, AN;
oriental alabaster, |h;
oriental arborvitae, |h;
oriental beetle, h;
oriental bittersweet, |h;
oriental black mushroom, |h;
oriental bush cherry, |h;
oriental cherry, |h;
oriental cockroach, |h;
oriental garlic, |h;
oriental person, |h;
oriental plane, |h;
oriental poppy, |h;
oriental roach, |h;
oriental scops owl, |h;
oriental sore, |h;
oriental spruce, |h;
orientalist, |N;
orientalize, |V;
orientally, v;
orientate, Vt;
orientated, tiA;
orientating, tiA;
orientation, N;
orientation course, |h;
orientative, A;
oriented, |A;
orienteering, N;
orienting, |A;
orifice, N;
oriflamme, N;
orig, N;
origami, N;
origamis, p;
origan, N;
origanum, |N;
origanum dictamnus, |h;
origanum majorana, |h;
origanum vulgare, |h;
origin, N;
original, AN;
original sin, h;
originalism, |N;
originality, N;
originally, v;
originate, Vi;
originate in, |V;
originated, V;
originating, V;
origination, N;
origination fee, |h;
originative, A;
originatively, v;
originator, N;
orihon, N;
orinasal, AN;
orinasal phone, |h;
orinasally, v;
orinoco, |N;
orinoco river, |h;
oriole, N;
oriolidae, |N;
oriolus, |N;
oriolus oriolus, |h;
orion, |N;
orison, N;
orissa, |N;
orites, |N;
orites excelsa, |h;
oriya, |N;
orizaba, |N;
orkney islands, |h;
orlando, |N;
orle, N;
orleanais, |N;
orleanist, |N;
orleans, |N;
orlo, N;
orlon, |N;
orlop, N;
orlop deck, |h;
orlos, p;
orly, |N;
ormazd, |N;
ormer, N;
ormolu, N;
ormosia, |N;
ormosia coarctata, |h;
ormosia monosperma, |h;
ormuzd, |N;
ornament, NVt;
ornamental, AN;
ornamentalist, |N;
ornamentality, N;
ornamentally, v;
ornamentation, N;
ornamented, A;
ornate, A;
ornately, v;
ornateness, N;
orneriness, N;
ornery, A;
ornis, N;
ornith, N;
ornithes, p;
ornithic, A;
ornithine, N;
ornithischia, |N;
ornithischian, AN;
ornithischian dinosaur, |h;
ornithogalum, |N;
ornithogalum pyrenaicum, |h;
ornithogalum thyrsoides, |h;
ornithogalum umbellatum, |h;
ornithoid, A;
ornithol, N;
ornithologic, A;
ornithological, A;
ornithologically, v;
ornithologist, N;
ornithology, N;
ornithomancy, N;
ornithomimid, |N;
ornithomimida, |N;
ornithopod, N;
ornithopod dinosaur, |h;
ornithopoda, |N;
ornithopter, N;
ornithorhynchidae, |N;
ornithorhynchus, N;
ornithorhynchus anatinus, |h;
ornithoscopy, N;
ornithosis, N;
oro y plata, h;
orobanchaceae, |N;
orobanchaceous, A;
orogenetic, A;
orogenic, A;
orogeny, N;
orographic, N;
orographic cloud, h;
orographic precipitation, h;
orography, N;
oroide, N;
orological, A;
orologist, N;
orometer, N;
orometric, A;
orometry, N;
oronasal, AN;
oronasally, v;
orontium, |N;
orontium aquaticum, |h;
oropharyngeal, A;
oropharynx, |N;
orotund, A;
orotundity, N;
orphan, NtVA;
orphanage, N;
orphaned, |A;
orphanhood, N;
orphans' asylum, |h;
orphans' court, h;
orpharion, N;
orpheus, |N;
orphrey, N;
orphreyed, A;
orphreys, p;
orpiment, N;
orpin, |N;
orpine, N;
orpington, |N;
orreries, p;
orrery, N;
orris, N;
orrisroot, N;
orrow, A;
orseille, N;
ortalis, |N;
ortanique, N;
orthicon, N;
ortho, A;
ortho-cousin, N;
ortho-xylene, N;
orthoboric acid, h;
orthocenter, N;
orthocentre, N;
orthocephalic, A;
orthocephaly, N;
orthochorea, |N;
orthochromatic, A;
orthochromatic film, |h;
orthoclase, N;
orthodontia, |N;
orthodontic, A;
orthodontics, NA;
orthodontist, N;
orthodox, A;
orthodox catholic church, |h;
orthodox church, |h;
orthodox judaism, |h;
orthodoxies, p;
orthodoxness, N;
orthodoxy, N;
orthoepy, N;
orthoformic acid, h;
orthogenesis, N;
orthogenetic, A;
orthogenic, A;
orthognathous, A;
orthogonal, A;
orthogonal matrix, h;
orthogonal opposition, |h;
orthogonal trajectory, h;
orthogonality, N;
orthogonalization, N;
orthogonalize, t;
orthogonalized, t;
orthogonalizing, t;
orthogonally, v;
orthographer, N;
orthographic, A;
orthographically, v;
orthographies, p;
orthographise, ti;
orthographised, ti;
orthographising, ti;
orthographize, ti;
orthographized, V;
orthographizing, V;
orthography, N;
orthohydrogen, N;
orthomorphic, A;
orthomorphic projection, Ah;
orthomyxovirus, |N;
orthopaedic, |A;
orthopaedically, v;
orthopaedics, N;
orthopedic, A;
orthopedical, |A;
orthopedically, v;
orthopedics, N;
orthopedist, N;
orthophosphate, N;
orthophosphoric, A;
orthophosphoric acid, h;
orthophosphorous acid, h;
orthophyric, A;
orthopnea, N;
orthopneic, A;
orthopnoeic, A;
orthopraxia, N;
orthopraxy, N;
orthopristis, |N;
orthopristis chrysopterus, |h;
orthopsychiatry, N;
orthopter, N;
orthoptera, |N;
orthopteran, N;
orthopteron, N;
orthopterous, A;
orthopterous insect, |h;
orthoptetera, p;
orthoptic, A;
orthoptic exercises, h;
orthoptics, N;
orthorhombic, A;
orthoscope, N;
orthoscopic, A;
orthoselection, N;
orthostat, N;
orthostatai, p;
orthostates, N;
orthostichies, p;
orthostichous, A;
orthostichy, N;
orthostyle, A;
orthotomus, |N;
orthotomus sutorius, |h;
orthotone, AN;
orthotropic, A;
orthotropism, N;
orthotropous, A;
orthotropous ovule, |h;
orthros, N;
ortilis vetula macalli, |h;
ortolan, N;
ortolan bunting, |h;
orts, p;
ortygan, |N;
orudis, |N;
oruvail, |N;
orycteropodidae, |N;
orycteropus, |N;
orycteropus afer, |h;
oryctolagus, |N;
oryctolagus cuniculus, |h;
oryx, N;
oryx gazella, |h;
oryza, |N;
oryza sativa, |h;
oryzomys, |N;
oryzomys palustris, |h;
oryzopsis, |N;
oryzopsis hymenoides, |h;
oryzopsis miliacea, |h;
orzo, |N;
os, N;
os breve, |h;
os capitatum, |h;
os frontale, |h;
os hamatum, |h;
os hyoideum, |h;
os ischii, |h;
os longum, |h;
os lunatum, |h;
os nasale, |h;
os palatinum, |h;
os pisiforme, |h;
os pubis, |h;
os scaphoideum, |h;
os sesamoideum, |h;
os sphenoidale, |h;
os tarsi fibulare, |h;
os temporale, |h;
os trapezium, |h;
os trapezoideum, |h;
os triquetrum, |h;
os zygomaticum, |h;
osage, |N;
osage orange, |h;
osage river, |h;
osaka, |N;
osar, p;
oscan, |N;
oscar, N;
oscillate, iV;
oscillated, V;
oscillating, VA;
oscillating engine, h;
oscillation, N;
oscillator, N;
oscillatoriaceae, |N;
oscillatory, A;
oscillogram, N;
oscillograph, N;
oscillometric, A;
oscillometry, N;
oscilloscope, N;
oscine, AN;
oscine bird, |h;
oscines, |N;
oscitance, N;
oscitancy, N;
oscitant, A;
osco-umbrian, |N;
oscula, p;
osculant, A;
oscular, A;
oscularity, N;
osculate, Vi;
osculated, V;
osculating, V;
osculating circle, h;
osculating plane, h;
osculation, N;
osculator, |N;
osculatory, A;
osculum, N;
osha, |N;
osier, N;
osier-like, A;
osiered, A;
osiris, |N;
oslo, |N;
osmanthus, |N;
osmanthus americanus, |h;
osmateria, p;
osmaterium, N;
osmeridae, |N;
osmerus, |N;
osmerus eperlanus, |h;
osmerus mordax, |h;
osmeteria, p;
osmeterium, N;
osmic, A;
osmics, N;
osmidrosis, N;
osmious, A;
osmiridium, N;
osmitrol, |N;
osmium, N;
osmium tetroxide, h;
osmometer, N;
osmometric, A;
osmometrically, v;
osmometry, N;
osmose, VN;
osmosed, V;
osmosing, V;
osmosis, N;
osmotic, |A;
osmotic pressure, h;
osmotically, v;
osmous, A;
osmund, N;
osmunda, N;
osmunda cinnamonea, |h;
osmunda clatonia, |h;
osmunda regalis, |h;
osmundaceae, |N;
osnaburg, N;
osophone, N;
osprey, N;
ossa, N;
ossein, N;
osselet, N;
osseous, A;
osseous labyrinth, |h;
osseous tissue, |h;
osseously, v;
ossete, |N;
ossicle, N;
ossicular, A;
ossiculate, |A;
ossiculum, |N;
ossiferous, A;
ossification, N;
ossified, A;
ossifier, N;
ossifrage, N;
ossify, Vi;
ossifying, V;
osso bucco, h;
osso buco, |h;
ossuary, N;
ostariophysi, |N;
osteal, A;
